% MINI - Birds dataset
@RELATION Birds

@ATTRIBUTE Data STRING
@ATTRIBUTE Shape STRING
@ATTRIBUTE Label STRING

@DATA
'[131 164  75 ... 108 103 109]','(128, 128, 3)',purple_finch
'[ 63 106  37 ...  96 158  51]','(128, 128, 3)',townsends_warbler
'[207 255 254 ... 232 235 252]','(128, 128, 3)',american_redstart
'[ 89  95  69 ... 187 164 146]','(128, 128, 3)',white_necked_raven
'[183 201 221 ... 193 210 226]','(128, 128, 3)',double_brested_cormarant
'[162 183 127 ... 178 204  79]','(128, 128, 3)',american_redstart
'[130 136  92 ... 107 117  65]','(128, 128, 3)',white_necked_raven
'[12 13  7 ... 30 43 17]','(128, 128, 3)',capped_heron
'[156 113  79 ... 149 113  99]','(128, 128, 3)',horned_lark
'[125 142 160 ...  47  48  52]','(128, 128, 3)',osprey
'[133 129 117 ... 108 105 112]','(128, 128, 3)',downy_woodpecker
'[ 86 132  60 ...  90 129  74]','(128, 128, 3)',purple_finch
'[140 166 191 ... 130 162 200]','(128, 128, 3)',common_loon
'[198 224 177 ... 180 195 114]','(128, 128, 3)',townsends_warbler
'[230 170 118 ...  83  59  25]','(128, 128, 3)',vulturine_guineafowl
'[152 134 132 ...  47  68  27]','(128, 128, 3)',horned_sungem
'[214 215 219 ... 237 240 245]','(128, 128, 3)',double_brested_cormarant
'[14 13 11 ... 85 62 54]','(128, 128, 3)',downy_woodpecker
'[121 107   2 ...  67  80   8]','(128, 128, 3)',vulturine_guineafowl
'[157 143 117 ... 116 177  82]','(128, 128, 3)',cuban_tody
'[162 205 212 ... 181 187 203]','(128, 128, 3)',blue_heron
'[ 81  91 103 ...  46  48  47]','(128, 128, 3)',fairy_bluebird
'[167 207 232 ... 129 116  84]','(128, 128, 3)',fairy_bluebird
'[174 192 214 ... 206 205 210]','(128, 128, 3)',emperor_penguin
'[230 239 244 ... 248 249 251]','(128, 128, 3)',emperor_penguin
'[ 91 215  93 ... 207 201 203]','(128, 128, 3)',northern_parula
'[131 153 166 ... 123 160 176]','(128, 128, 3)',common_loon
'[205 193 177 ... 146 122  78]','(128, 128, 3)',cuban_tody
'[168 174 208 ... 111 120 151]','(128, 128, 3)',common_loon
'[152 142 117 ... 220 217 224]','(128, 128, 3)',blue_heron
'[111 195 255 ... 124 113 130]','(128, 128, 3)',white_necked_raven
'[ 43  55  41 ... 166 166 164]','(128, 128, 3)',cock_of_the_rock
'[ 65  93  45 ... 101 144  65]','(128, 128, 3)',fairy_bluebird
'[189 177 161 ... 136 120  94]','(128, 128, 3)',horned_lark
'[186 146 120 ... 162 153 146]','(128, 128, 3)',capped_heron
'[132 143 113 ... 148 126 129]','(128, 128, 3)',black_tail_crake
'[ 81  87   0 ...  93 104   0]','(128, 128, 3)',northern_parula
'[132 141 110 ... 148 189 211]','(128, 128, 3)',common_loon
'[150 143 117 ...  68 113  58]','(128, 128, 3)',downy_woodpecker
'[122 128 114 ...  76  71  65]','(128, 128, 3)',cock_of_the_rock
'[111  95  61 ...  98  83  50]','(128, 128, 3)',horned_sungem
'[162 163 158 ... 213 212 220]','(128, 128, 3)',purple_finch
'[157 159 148 ... 140 162  77]','(128, 128, 3)',purple_finch
'[222 236 161 ...   9  12   3]','(128, 128, 3)',fairy_bluebird
'[186 234  60 ...  86 110  32]','(128, 128, 3)',american_redstart
'[118 113 110 ... 121 112 117]','(128, 128, 3)',cuban_tody
'[156 183 138 ...  93  88  92]','(128, 128, 3)',common_loon
'[116 120 167 ... 173 176 195]','(128, 128, 3)',emperor_penguin
'[106 139  70 ... 125 136  96]','(128, 128, 3)',scarlet_tanager
'[154 188 215 ... 115 149 177]','(128, 128, 3)',double_brested_cormarant
'[181 161 110 ... 202 170 147]','(128, 128, 3)',white_necked_raven
'[132 142 118 ... 195 194 190]','(128, 128, 3)',cuban_tody
'[120 135 132 ...  71  73  68]','(128, 128, 3)',cock_of_the_rock
'[150 181 137 ... 137 132 113]','(128, 128, 3)',american_redstart
'[187 186 191 ... 170 162 143]','(128, 128, 3)',horned_sungem
